isrun,idmachine,namemachine,nameeng,sizemachine,capacity,Power,point,model,nummachine,usejob,capability,manufacturer,machineinclude,genration,energy,create_date,create_by,update_date,update_by,division,machinegroupid,fis_refcode,out
34,KI1-EM-SWG-0034,ตู้สวิทช์เกียร์จ่ายโรงแก๊ส WETSCSUBBER,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
35,KI1-EM-SWG-0035,ตู้สวิทช์เกียร์จ่ายโรงสับเปลือกไม้,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
36,KI1-EM-SWG-0036,ตู้สวิทช์เกียร์จ่ายหม้อปั่น A2 และรีไฟน์,Switchgear,316,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
37,KI1-EM-SWG-0037,ตู้สวิทช์เกียร์จ่ายโรงกรองน้ำ RO,Switchgear,316,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
38,KI1-EM-SWG-0038,ตู้สวิทช์เกียร์ สแปร์,Switchgear,316,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
39,KI1-EM-SWG-0039,ตู้สวิทช์เกียร์จ่ายหม้อต้ม (Interlock HV5),Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
40,KI1-EM-SWG-0040,ตู้สวิทช์เกียร์รับ/จ่ายไฟบริการ จาก KI2,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
41,KI1-EM-SWG-0041,ตู้สวิทช์เกียร์รับ/จ่ายไฟบริการ KI1 จาก GEN2,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
42,KI1-EM-SWG-0042,ตู้สวิทช์เกียร์จ่ายออฟฟิศ/ บ้านพัก,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
43,KI1-EM-SWG-0043,ตู้สวิทช์เกียร์จ่ายไฟบริการ,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
44,KI1-EM-SWG-0044,ตู้สวิทช์เกียร์จ่ายกลุ่มโหลดท่าน้ำนอก/ โรงปุ๋ย/ โกดัง5,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
45,KI1-EM-SWG-0045,ตู้สวิทช์เกียร์ หม้อปั่นB (Interlock HV13),Switchgear,316,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
46,KI1-EM-SWG-1000,ตู้ Bus Connection Gen1,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
47,KI1-EM-SWG-2000,ตู้ Bus Connection Gen2,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
48,KI1-EM-SWG-2201,ตู้สวิทช์เกียร์ซื้อ/ขายพลังงานไฟฟ้า ไลน์ห้วยแถลง (MV House),Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
49,KI1-EM-SWG-2901,ตู้สวิทช์เกียร์จ่ายมอเตอร์ขับลูกหีบ,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
50,KI1-EM-SWG-2902,ตู้สวิทช์เกียร์จ่ายมอเตอร์ขับลูกหีบชุด 3,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
51,KI1-EM-SWG-2903,ตู้สวิทช์เกียร์จ่ายมอเตอร์ขับลูกหีบชุด 5,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
52,KI1-EM-SWG-2904,ตู้สวิทช์เกียร์จ่าย Ulity มอเตอร์ขับลูกหีบ,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
53,KI1-EM-SWG-3000,ตู้ Bus Connection Gen3,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
54,KI1-EM-SWG-3401,ตู้สวิทช์เกียร์จ่าย Wet Scrubber,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
55,KI1-EM-SWG-3402,ตู้สวิทช์เกียร์จ่าย ปั๊มแก๊ส,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
56,KI1-EM-SWG-9001,ตู้สวิตเกียร์ 52KI-01 (รับจาก 52F-15 จ่าย Bus Connection Gen2),Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
57,KI1-EM-SWG-9002,ตู้สวิตเกียร์ 52KI-02 (รับจาก 52F-16 จ่าย Bus Connection Gen3),Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
